,CLIENTNUM,Categoria,Idade,Sexo,Dependentes,Educação,Estado Civil,Faixa Salarial Anual,Categoria Cartão,Meses como Cliente,Produtos Contratados,Inatividade 12m,Contatos 12m,Limite,Limite Consumido,Limite Disponível,Mudanças Transacoes_Q4_Q1,Valor Transacoes 12m,Qtde Transacoes 12m,Mudança Qtde Transações_Q4_Q1,Taxa de Utilização Cartão
21,708508758,Cancelado,62,F,0,Ensino Superior,Casado,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1047.0,692,16,0.6,0.0
39,708300483,Cancelado,66,F,0,Doutorado,Casado,Não informado,Blue,56,5,4,3,7882.0,605,7277.0,1052.0,704,16,143.0,77.0
51,779471883,Cancelado,54,F,1,Ensino Superior,Casado,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,997.0,705,19,0.9,562.0
54,714374133,Cancelado,56,M,2,Ensino Superior,Casado,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1041.0,602,15,364.0,0.0
61,712030833,Cancelado,48,M,2,Ensino Superior,Casado,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,763.0,691,15,0.5,0.0
82,711013983,Cancelado,55,F,4,Não informado,Casado,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,585.0,615,12,714.0,0.0
99,711887583,Cancelado,47,M,2,Não informado,Casado,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,696.0,836,18,385.0,299.0
127,720201033,Cancelado,53,M,2,Ensino Superior,Casado,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,622.0,720,23,353.0,191.0
140,789322833,Cancelado,48,F,5,Ensino Médio,Casado,Less than $40K,Blue,38,1,3,3,8025.0,0,8025.0,654.0,673,18,0.8,0.0
144,767712558,Cancelado,59,M,1,Ensino Superior Incompleto,Solteiro,$60K - $80K,Blue,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0
145,712950783,Cancelado,48,F,4,Sem ensino formal,Casado,Less than $40K,Blue,38,3,2,3,2732.0,0,2732.0,0.76,739,16,455.0,0.0
168,713741358,Cancelado,46,M,5,Ensino Superior,Solteiro,$80K - $120K,Blue,33,6,3,3,32975.0,2517,30458.0,658.0,597,17,0.7,76.0
172,708953883,Cancelado,53,M,2,Não informado,Casado,$80K - $120K,Blue,36,2,2,1,3212.0,0,3212.0,713.0,757,20,0.25,0.0
198,708868233,Cancelado,68,M,0,Ensino Médio,Casado,Less than $40K,Blue,52,1,3,2,1438.3,900,538.3,743.0,760,21,615.0,626.0
206,719808558,Cancelado,55,F,2,Ensino Superior,Casado,Less than $40K,Blue,43,2,4,3,1438.3,0,1438.3,707.0,886,27,421.0,0.0
207,711551958,Cancelado,59,M,2,Post-Ensino Superior,Casado,$60K - $80K,Blue,46,3,3,3,1438.3,0,1438.3,688.0,844,24,0.5,0.0
230,772336458,Cancelado,60,F,1,Sem ensino formal,Casado,$40K - $60K,Blue,50,4,4,3,1438.3,1025,413.3,838.0,702,12,714.0,713.0
236,720997383,Cancelado,52,M,1,Sem ensino formal,Casado,$80K - $120K,Blue,36,2,3,3,1857.0,1833,24.0,723.0,829,17,0.7,987.0
240,710299608,Cancelado,53,F,2,Não informado,Casado,Less than $40K,Blue,33,2,3,3,2859.0,2517,342.0,993.0,817,30,667.0,0.88
242,821797008,Cancelado,49,M,5,Ensino Superior Incompleto,Casado,$40K - $60K,Blue,45,2,2,3,1438.3,0,1438.3,734.0,815,21,615.0,0.0
243,708874533,Cancelado,45,F,2,Ensino Superior Incompleto,Casado,Less than $40K,Blue,36,1,3,2,3387.0,0,3387.0,789.0,510,24,0.6,0.0
247,712125258,Cancelado,46,M,4,Ensino Médio,Casado,$120K +,Blue,30,3,3,3,2442.0,0,2442.0,0.98,701,19,727.0,0.0
253,772390908,Cancelado,59,M,0,Ensino Médio,Solteiro,$40K - $60K,Blue,48,2,4,3,3616.0,1054,2562.0,616.0,687,17,545.0,291.0
261,778867533,Cancelado,59,F,0,Post-Ensino Superior,Casado,$40K - $60K,Blue,40,1,4,1,1438.3,0,1438.3,1038.0,689,23,353.0,0.0
268,771809733,Cancelado,64,F,0,Ensino Médio,Casado,$40K - $60K,Blue,53,1,3,3,3353.0,0,3353.0,1021.0,960,18,385.0,0.0
276,719211558,Cancelado,45,M,2,Ensino Superior,Solteiro,$60K - $80K,Blue,36,1,1,2,3401.0,0,3401.0,898.0,744,18,1.0,0.0
283,718621608,Cancelado,54,F,2,Ensino Médio,Casado,Não informado,Blue,44,3,3,1,6094.0,0,6094.0,1129.0,909,14,273.0,0.0
286,720272958,Cancelado,48,M,2,Ensino Médio,Casado,$120K +,Blue,36,3,3,3,27126.0,0,27126.0,953.0,1000,25,786.0,0.0
288,709173108,Cancelado,54,F,4,Ensino Superior,Casado,Não informado,Blue,40,6,2,2,2532.0,2221,311.0,491.0,799,21,235.0,877.0
